"brewery","name","year","style"
"Revolution Brewing","Deth's Tar (2024)","2024","Stout - Imperial / Double Oatmeal"
"Trillium Brewing Company","Daily Serving: Blackberry & Raspberry","N/A","Sour - Fruited Berliner Weisse"
"Sante Adairius Rustic Ales","Past, Remembered","N/A","Farmhouse Ale - Saison"
"Brasserie du Bas-Canada","Nathan","N/A","Stout - Imperial / Double Milk"
"Garage Beer Co.","HEXCRAFT","N/A","IPA - American"
"Ārpus Brewing Co.","8 Year Anniversary Red Berries Smoothie Sour Ale","N/A","Sour - Smoothie / Pastry"
"Kehrwieder Kreativbrauerei","Super Dude - Barrel Aged Imperial Stout","N/A","Stout - Imperial / Double"
"Lieber Waldi","Barking Around the Christmas Tree","N/A","IPA - Black / Cascadian Dark Ale"
"Lieber Waldi","Leeve Waldi","N/A","Kölsch - Wiess"
"Popihn Sauvages","PENJAMOUSSE (2025)","2025","Wild Ale - Other"
"Glass Pyramid Project","Freshly Squeezed: Mango + Peach + Passion Fruit + Vanilla","N/A","Sour - Smoothie / Pastry"
"Northern Monk","PATRONS PROJECT 50.01 // DAVID BAILEY","N/A","Bitter - ESB"
"Sierra Nevada Brewing Co.","Celebration (2025)","2025","IPA - American"
"Brauerei Knoblach Schammelsdorf","Stammberg Bock (2025)","2025","Bock - Hell / Maibock / Lentebock"
"Lieber Waldi","Santa Paws","N/A","IPA - New England / Hazy"
"Lieber Waldi","Winter Waldiland","N/A","Lager - Munich Dunkel"
"Brasserie d'Achouffe","N'Ice Chouffe","N/A","Winter Ale"
"Stone Brewing","Stone Imperial Stout","N/A","Stout - Imperial / Double"
"Ayinger Privatbrauerei","Celebrator","N/A","Bock - Doppelbock"
"Two Chefs Brewing","Coffee-Infused Bourbon Barrel Imperial Stout","N/A","Stout - Imperial / Double Coffee"
"Equilibrium Brewery","Players","N/A","Stout - Imperial / Double Pastry"
"To Øl","Jule Malt","N/A","Stout - Imperial / Double Milk"
"LERVIG","3 Bean Stout","N/A","Stout - Imperial / Double"
"Põhjala","Cocobänger","N/A","Stout - Imperial / Double Coffee"
"Brouwerij Boon","Geuze Mariage Parfait (2016)","2016","Lambic - Gueuze"
"Brauerei im Füchschen","Füchschen Alt","N/A","Altbier - Traditional"
"BRLO","Flipper","N/A","Non-Alcoholic - Pale Ale"
"Brouwerij St. Bernardus","Abt 12","N/A","Belgian Quadrupel"
"Põhjala","Barrique Noire (Cellar Series)","N/A","Porter - Imperial / Double Baltic"
"Elmeleven","No Stars Only Suns (w. Mikerphone)","N/A","Stout - Imperial / Double"
"Brasserie Cantillon","Nath (2024)","2024","Lambic - Other"
"Martin House Brewing Company","The Ghost of Johnny Appleseed","N/A","Sour - Fruited"
"Energy City Brewing","Bistro Concord Grape Cobbler","N/A","Sour - Fruited Berliner Weisse"
"Brasserie Cantillon","Rosé de Gambrinus (2023)","2023","Lambic - Framboise"
"Brasserie Cantillon","Rosé De Gambrinus (2025)","2025","Lambic - Framboise"
"Blackout Brewing","Stagg JR BA - Poke the Hive","N/A","Barleywine - American"
"Ca' del Brado","Cuvée de Pesga","N/A","Sour - Fruited"
"KUEHN KUNZ ROSEN","Wilde Traube","N/A","Grape Ale - Other"
"Gueuzerie Tilquin","Petite Gueuze Tilquin","N/A","Lambic - Gueuze"
"Omnipollo","Bianca Non-Alcoholic Mango Lassi Gose","N/A","Non-Alcoholic - Sour"
"Brasserie Sir John Brewing Co.","Sans L'Ombre D'un Doute","N/A","Stout - Imperial / Double"
"Lieber Waldi","Dog Is God","N/A","IPA - New England / Hazy"
"Mikkeller","Shallow Passion Pool","N/A","Non-Alcoholic - Sour"
"Ritterguts Gose","Original Ritterguts Gose","N/A","Sour - Traditional Gose"
"The Bruery","Heavenly Blis","N/A","Stout - Imperial / Double"
"Brasserie Cantillon","Saint Lamvinus (2024)","2024","Lambic - Fruit"
"Brasserie Cantillon","Sang Bleu (2025)","2025","Lambic - Fruit"
"Brouwerij De Dolle Brouwers","Stille Nacht (2024)","2024","Belgian Strong Golden Ale"
"Plan Bee Farm Brewery","Barn Beer","N/A","Wild Ale - American"
"Brouwerij 3 Fonteinen","3F x De Mederie | Moonshine Got Me","N/A","Mead - Braggot"
"Brouwerij 3 Fonteinen","Speling van het Lot XI.xii: Pruim Haganta","N/A","Lambic - Fruit"
"Stone Brewing","Stone IPA","N/A","IPA - American"
"De Struise Brouwers","Black Albert (2023)","2023","Stout - Belgian"
"LERVIG","Night We Met By Rackhouse","N/A","Stout - Imperial / Double"
"Brasserie Cantillon","Classic Gueuze (2023)","2023","Lambic - Gueuze"
"Weaver Hollow Brewery","Introducing....Taiheke","N/A","Farmhouse Ale - Grisette"
"Omnipollo","Bianca Non-Alcoholic Blackberry Marshmallow Lassi Gose","N/A","Non-Alcoholic - Sour"
"Revel Cider Company","Good Evening","N/A","Cider - Other Fruit"
"Rogue Ales","Côtes du Rogue - Sour Blonde","N/A","Sour - Other"
"Schneider Weisse","Hopfenweisse (TAP05)","N/A","Wheat Beer - Hopfenweisse"
"Schneider Weisse","Aventinus (TAP6) (2015)","2015","Bock - Weizendoppelbock"
"Nano Brasserie SPO","Sur La Crête Vosgienne MMXXIII (2023)","2023","Cider - Graff"
"Tyrell BrauKunstAtelier","Kaiserweisse (2024)","2024","Sour - Berliner Weisse"
"Black Project","ABSALON","N/A","Sour - Fruited"
"The Rare Barrel","Kerfuffle","N/A","Sour - Fruited Berliner Weisse"
"Allagash Brewing Company","Gatherwell","N/A","Stout - Imperial / Double"
"Boerenerf","Riesling (Tap Version) (2023)","2023","Lambic - Fruit"
"Guinness","Guinness Draught 0.0","N/A","Non-Alcoholic - Porter / Stout"
"Sante Adairius Rustic Ales","Proper Discourse","N/A","Farmhouse Ale - Saison"
"Athletic Brewing Company","Run Wild IPA","N/A","Non-Alcoholic - IPA"
"Funk Factory Geuzeria","Danish American Saison","N/A","Farmhouse Ale - Saison"
"Tyrell BrauKunstAtelier","Gerstenwein (2023)","2023","Barleywine - Other"
"Trillium Brewing Company","Cuvée de Tetreault (2019)","2019","Wild Ale - American"
"Schlenkerla","Aecht Schlenkerla Erle – Schwarzbier","N/A","Rauchbier"
"Brasserie Dupont","Saison Dupont (2023)","2023","Farmhouse Ale - Saison"
"Brasserie d'Orval","Orval (2023)","2023","Pale Ale - Belgian"
"Brasserie Dupont","Avec Les Bons Vœux (2022)","2022","Farmhouse Ale - Saison"
"Schlenkerla","Aecht Schlenkerla Weichsel – Rotbier","N/A","Rauchbier"
"Gueuzerie Tilquin","Oude Gewurzt Tilquin à l'Ancienne (2020-2021)","2020-2021","Lambic - Fruit"
"Brasserie Cantillon","Kriek 100% Lambic Bio (2023)","2023","Lambic - Kriek"
"Schneider Weisse","Cuvée Barrique (TAPX) (2018)","2018","Bock - Weizenbock"
"Brouwerij Het Anker","Gouden Carolus Whisky Infused","N/A","Belgian Strong Dark Ale"
"Flügge","Georg I. - Bier Wein Hybrid","N/A","Grape Ale - Other"
"Brouwerij Rodenbach","Rodenbach Grand Cru","N/A","Sour - Flanders Red Ale"
"FUERST WIACEK Berlin","Pilsner","N/A","Pilsner - German"
"Abbaye Notre-Dame de Saint-Rémy","Trappistes Rochefort 6","N/A","Belgian Dubbel"
"Bières de Chimay","Chimay Première (Red)","N/A","Belgian Dubbel"
"Abbaye Notre-Dame de Saint-Rémy","Trappistes Rochefort 10","N/A","Belgian Quadrupel"
"Brouwerij Westmalle","Westmalle Trappist Tripel","N/A","Belgian Tripel"
"Tilmans Biere","Das Helle","N/A","Lager - Helles"
"Brouwerij 3 Fonteinen","3 Fonteinen Framboos Oogst 2019","2019","Lambic - Framboise"
"Brouwerij 3 Fonteinen","Oude Kriek","N/A","Lambic - Kriek"
"Brouwerij Rodenbach","Alexander","N/A","Sour - Flanders Red Ale"
"Omnipollo","Noa Pecan Mud Cake Stout","N/A","Stout - Imperial / Double Pastry"
